variable,categoria,n,media_target,mediana_target,desv_std_target,min_target,max_target
educa_jefe_desc,Posgrado,3037,74477.57419822193,56201.07,72574.46391353586,74.17,1056521.73
educa_jefe_desc,Preescolar,34,18857.660000000003,19700.71,10992.3218293418,829.17,39857.13
educa_jefe_desc,Preparatoria completa,20179,34507.47071410873,29347.82,32374.574395707157,8.85,1864956.52
educa_jefe_desc,Preparatoria incompleta,4425,31558.459918644065,27373.76,30927.389996026457,14.75,869184.78
educa_jefe_desc,Primaria completa,23550,23492.10421613588,20372.275,26897.158122470988,2.93,1251684.76
educa_jefe_desc,Primaria incompleta,18167,19676.344099741287,16434.78,24347.33586947639,2.95,1364673.9
educa_jefe_desc,Profesional completa,15615,55405.03924815882,42065.21,155934.98745385013,41.53,17021739.119999997
educa_jefe_desc,Profesional incompleta,4383,42595.61324207164,33847.81,42548.570530410834,23.6,1131495.65
educa_jefe_desc,Secundaria completa,40850,27948.07090942473,24065.2,38372.73003963721,4.89,3834046.95
educa_jefe_desc,Secundaria incompleta,4186,26608.83169374104,23245.915,33131.47951589635,46.95,1222239.13
educa_jefe_desc,Sin instrucción,7153,18855.225505382357,14331.51,75192.55120512623,5.93,5978481.63
