columna,vif,estado,nota
parentesco_desc__cunado_a,1.0182944797762088,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__suegro_a,1.0122070919706914,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__primo_a_noicpircsed_4202_y,1.0061426420369854,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__bisnieto_a,1.0041128158701398,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__abuelo_a,1.0029872400341444,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__tio_a,1.0024572776390712,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__pareja_del_mismo_sexo,1.0024033213195804,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__familiar_otro_parentesco,1.0016382666016448,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__concubino_a,1.0011560940653834,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__concuno_a,1.0010924699852568,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__bisabuelo_a,1.0008347854468724,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__consuegro_a,1.0007268404744716,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__padrastro_madrastra,1.0006336592121132,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__hijo_a_adoptivo_a,1.0006113210418375,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__ahijado_a,1.0004409294028815,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__compadre_comadre,1.0003789468779525,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__hijo_a_de_crianza,1.0003491191822735,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__medio_a_hermano_a,1.0003012068517387,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
