anio,variable,codigo_original,etiqueta_observada,etiqueta_propuesta,base_evidencia,estado
2020,segsoc_desc,2,No nóicpircseD .0202 y,No,Catalogo local: misma variable con rango binario; codigo 2 contaminado por texto invertido de extraccion en 2020/2022; codigo 2 aparece con etiqueta limpia No en 2018/2024.,propuesta_no_aplicada_requiere_aprobacion
2022,segsoc_desc,2,No nóicpircseD .2202 y,No,Catalogo local: misma variable con rango binario; codigo 2 contaminado por texto invertido de extraccion en 2020/2022; codigo 2 aparece con etiqueta limpia No en 2018/2024.,propuesta_no_aplicada_requiere_aprobacion
