anio,segsoc_codigo,n,pct_en_poblacion_raw
2018,,56947,0.21153688996530537
2018,1,86361,0.32079894207409937
2018,2,125898,0.46766416796059523
2020,,61520,0.19484200758211584
2020,1,107077,0.3391270748678514
2020,2,147146,0.4660309175500328
2022,,58989,0.19048126477312358
2022,1,107549,0.3472862660001808
2022,2,143146,0.4622324692266956
2024,1,107763,0.34920187428304783
2024,2,144641,0.4687036208919047
2024,<NA>,56194,0.18209450482504747
