columna_matriz,r2_auxiliar_con_intercepto,vif,estado,variable_original,tipo,categoria,referencia_variable,n_entrenamiento_referencia_o_categoria,n_entrenamiento,n_validacion
tam_loc_desc__localidades_con_2_500_a_14_999_habitantes,0.20931524695581938,1.2647265501831721,ok,tam_loc_desc,dummy_ohe_k_menos_1,Localidades con 2 500 a 14 999 habitantes,Localidades con 100 000 y más habitantes,13834,13834,3467
sexo_jefe_desc__mujer,0.17882733417585162,1.2177706852874557,ok,sexo_jefe_desc,dummy_ohe_k_menos_1,Mujer,Hombre,32705,32705,8299
tam_loc_desc__localidades_con_15_000_a_99_999_habitantes,0.15730227560237808,1.1866651244547042,ok,tam_loc_desc,dummy_ohe_k_menos_1,Localidades con 15 000 a 99 999 habitantes,Localidades con 100 000 y más habitantes,13365,13365,3297
nivelaprob_desc__normal,0.15415124500216992,1.182244454568672,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Normal,Ninguno,340,340,82
hablaind_desc__si,0.15406659133692135,1.182126145816146,ok,hablaind_desc,dummy_ohe_k_menos_1,Sí,No,8761,8761,2236
nivelaprob_desc__preescolar_o_kinder,0.14830331608087033,1.17412691499331,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Preescolar o kínder,Ninguno,30,30,13
educa_jefe_desc__preescolar,0.14311720083711554,1.167020741899512,ok,educa_jefe_desc,dummy_ohe_k_menos_1,Preescolar,Sin instrucción,24,24,10
parentesco_desc__sobrino_a,0.06429577101157802,1.0687137762336367,ok,parentesco_desc,dummy_ohe_k_menos_1,Sobrino(a),Jefe(a),725,725,165
parentesco_desc__hermano_a,0.0427541515709331,1.0446637106247019,ok,parentesco_desc,dummy_ohe_k_menos_1,Hermano(a),Jefe(a),1561,1561,349
parentesco_desc__no_tiene_parentesco,0.024263383544919304,1.024866734665621,ok,parentesco_desc,dummy_ohe_k_menos_1,No tiene parentesco,Jefe(a),521,521,148
parentesco_desc__madre_padre,0.023585406850138102,1.0241551150664931,ok,parentesco_desc,dummy_ohe_k_menos_1,"Madre, padre",Jefe(a),390,390,101
parentesco_desc__hijastro_a_entenado_a,0.02321164063181458,1.023763224048686,ok,parentesco_desc,dummy_ohe_k_menos_1,"Hijastro(a), entenado(a)",Jefe(a),294,294,90
parentesco_desc__cunado_a,0.01832844261586053,1.0186706464886284,ok,parentesco_desc,dummy_ohe_k_menos_1,Cuñado(a),Jefe(a),436,436,109
parentesco_desc__suegro_a,0.01225748915876268,1.0124095996924576,ok,parentesco_desc,dummy_ohe_k_menos_1,Suegro(a),Jefe(a),171,171,37
parentesco_desc__primo_a_noicpircsed_4202_y,0.006707938177210826,1.0067532384834539,ok,parentesco_desc,dummy_ohe_k_menos_1,Primo(a) nóicpircseD .4202 y,Jefe(a),135,135,28
parentesco_desc__bisnieto_a,0.004360672995662562,1.0043797717480514,ok,parentesco_desc,dummy_ohe_k_menos_1,Bisnieto(a),Jefe(a),9,9,3
parentesco_desc__abuelo_a,0.003933654969871636,1.0039491897196393,ok,parentesco_desc,dummy_ohe_k_menos_1,Abuelo(a),Jefe(a),14,14,2
parentesco_desc__tio_a,0.0027022519603343564,1.002709573911749,ok,parentesco_desc,dummy_ohe_k_menos_1,Tío(a),Jefe(a),53,53,13
parentesco_desc__pareja_del_mismo_sexo,0.002570068658078739,1.0025766909306812,ok,parentesco_desc,dummy_ohe_k_menos_1,Pareja del mismo sexo,Jefe(a),53,53,8
parentesco_desc__familiar_otro_parentesco,0.0015441961258126913,1.0015465843553826,ok,parentesco_desc,dummy_ohe_k_menos_1,"Familiar, otro parentesco",Jefe(a),10,10,5
parentesco_desc__concubino_a,0.0012121227082902974,1.0012135937328124,ok,parentesco_desc,dummy_ohe_k_menos_1,Concubino(a),Jefe(a),39,39,11
parentesco_desc__bisabuelo_a,0.00105019268305373,1.0010512967472054,ok,parentesco_desc,dummy_ohe_k_menos_1,Bisabuelo(a),Jefe(a),1,1,0
parentesco_desc__concuno_a,0.0009920037682572547,1.0009929888169056,ok,parentesco_desc,dummy_ohe_k_menos_1,Concuño(a),Jefe(a),20,20,4
parentesco_desc__consuegro_a,0.0009132202591992655,1.0009140549927367,ok,parentesco_desc,dummy_ohe_k_menos_1,Consuegro(a),Jefe(a),1,1,0
parentesco_desc__padrastro_madrastra,0.0006313940317324018,1.0006317929420252,ok,parentesco_desc,dummy_ohe_k_menos_1,"Padrastro, madrastra",Jefe(a),13,13,4
parentesco_desc__ahijado_a,0.0006077650799994894,1.0006081346830238,ok,parentesco_desc,dummy_ohe_k_menos_1,Ahijado(a),Jefe(a),3,3,1
parentesco_desc__hijo_a_adoptivo_a,0.0005953066420868458,1.0005956612431814,ok,parentesco_desc,dummy_ohe_k_menos_1,Hijo(a) adoptivo(a),Jefe(a),3,3,3
parentesco_desc__medio_a_hermano_a,0.0003759074707698762,1.0003760488303346,ok,parentesco_desc,dummy_ohe_k_menos_1,Medio(a) hermano(a),Jefe(a),1,1,0
parentesco_desc__compadre_comadre,0.0001989184956444623,1.000198958072085,ok,parentesco_desc,dummy_ohe_k_menos_1,"Compadre, comadre",Jefe(a),1,1,2
