variable_original,repeticion,rmse_permutado,mae_permutado,delta_rmse,delta_mae,baseline_rmse,baseline_mae
n_trabajos,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
nivelaprob_desc,1,42047.79585648281,16051.886642012467,50.75348688537633,74.66305312886652,41997.04236959743,15977.2235888836
nivelaprob_desc,2,42053.53728439278,16065.619755087042,56.49491479535209,88.39616620344168,41997.04236959743,15977.2235888836
nivelaprob_desc,3,42056.14221019138,16070.596095952653,59.09984059394628,93.37250706905252,41997.04236959743,15977.2235888836
nivelaprob_desc,4,42044.48684659489,16053.39400250489,47.44447699745797,76.17041362129021,41997.04236959743,15977.2235888836
nivelaprob_desc,5,42051.431135966275,16055.61294131974,54.38876636884379,78.38935243613923,41997.04236959743,15977.2235888836
nivelaprob_desc,6,42049.049857127204,16053.028332422755,52.007487529772334,75.80474353915452,41997.04236959743,15977.2235888836
nivelaprob_desc,7,42062.65446093276,16080.450002079135,65.61209133532975,103.2264131955344,41997.04236959743,15977.2235888836
nivelaprob_desc,8,42047.68537654986,16051.076643548768,50.64300695242855,73.85305466516729,41997.04236959743,15977.2235888836
nivelaprob_desc,9,42051.91324303442,16062.219926046597,54.870873436986585,84.9963371629965,41997.04236959743,15977.2235888836
nivelaprob_desc,10,42053.513582364496,16056.98049223815,56.47121276706457,79.75690335454965,41997.04236959743,15977.2235888836
p65mas,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
