columna_matriz,variable_original,tipo,categoria,referencia_variable,n_entrenamiento_referencia_o_categoria,n_entrenamiento,n_validacion
parentesco_desc__pareja_del_mismo_sexo,parentesco_desc,dummy_ohe_k_menos_1,Pareja del mismo sexo,Jefe(a),53,53,8
parentesco_desc__primo_a_noicpircsed_4202_y,parentesco_desc,dummy_ohe_k_menos_1,Primo(a) nóicpircseD .4202 y,Jefe(a),135,135,28
parentesco_desc__sobrino_a,parentesco_desc,dummy_ohe_k_menos_1,Sobrino(a),Jefe(a),725,725,165
parentesco_desc__suegro_a,parentesco_desc,dummy_ohe_k_menos_1,Suegro(a),Jefe(a),171,171,37
parentesco_desc__tio_a,parentesco_desc,dummy_ohe_k_menos_1,Tío(a),Jefe(a),53,53,13
hablaind_desc__si,hablaind_desc,dummy_ohe_k_menos_1,Sí,No,8761,8761,2236
segsoc_desc__si,segsoc_desc,dummy_ohe_k_menos_1,Sí,No,66557,66557,16744
subor_principal_desc__no_aplica_sin_trabajo_principal_reportado,subor_principal_desc,dummy_ohe_k_menos_1,No aplica: sin trabajo principal reportado,No,4179,4179,1026
subor_principal_desc__si,subor_principal_desc,dummy_ohe_k_menos_1,Sí,No,83939,83939,20990
contrato_principal_desc__no_aplica_sin_contrato_principal_documentado,contrato_principal_desc,dummy_ohe_k_menos_1,No aplica: sin contrato principal documentado,No,29617,29617,7507
contrato_principal_desc__si,contrato_principal_desc,dummy_ohe_k_menos_1,Sí,No,41425,41425,10334
sexo_jefe_desc__mujer,sexo_jefe_desc,dummy_ohe_k_menos_1,Mujer,Hombre,32705,32705,8299
educa_jefe_desc__posgrado,educa_jefe_desc,dummy_ohe_k_menos_1,Posgrado,Sin instrucción,2473,2473,564
educa_jefe_desc__preescolar,educa_jefe_desc,dummy_ohe_k_menos_1,Preescolar,Sin instrucción,24,24,10
educa_jefe_desc__preparatoria_completa,educa_jefe_desc,dummy_ohe_k_menos_1,Preparatoria completa,Sin instrucción,16061,16061,4118
educa_jefe_desc__preparatoria_incompleta,educa_jefe_desc,dummy_ohe_k_menos_1,Preparatoria incompleta,Sin instrucción,3476,3476,949
educa_jefe_desc__primaria_completa,educa_jefe_desc,dummy_ohe_k_menos_1,Primaria completa,Sin instrucción,18753,18753,4797
educa_jefe_desc__primaria_incompleta,educa_jefe_desc,dummy_ohe_k_menos_1,Primaria incompleta,Sin instrucción,14549,14549,3618
educa_jefe_desc__profesional_completa,educa_jefe_desc,dummy_ohe_k_menos_1,Profesional completa,Sin instrucción,12590,12590,3025
educa_jefe_desc__profesional_incompleta,educa_jefe_desc,dummy_ohe_k_menos_1,Profesional incompleta,Sin instrucción,3512,3512,871
educa_jefe_desc__secundaria_completa,educa_jefe_desc,dummy_ohe_k_menos_1,Secundaria completa,Sin instrucción,32713,32713,8137
educa_jefe_desc__secundaria_incompleta,educa_jefe_desc,dummy_ohe_k_menos_1,Secundaria incompleta,Sin instrucción,3331,3331,855
