escala,particion,n,mae,rmse
ingreso_nominal,entrenamiento,113173,15781.40146393741,65739.66769857414
ingreso_nominal,validacion,28406,15827.766090646921,41410.43241381606
log_ingreso,entrenamiento,113173,0.6191864958611608,0.8858173383709359
log_ingreso,validacion,28406,0.6310463427055871,0.9032703807913339
