componente,edad,n_trabajos,horas_trabajos_total,tot_integ,menores,p65mas,sexo_desc__hombre,sexo_desc__mujer,nivelaprob_desc__doctorado,nivelaprob_desc__especialidad,nivelaprob_desc__estudios_tecnicos_o_comerciales,nivelaprob_desc__licenciatura_o_ingenieria_profesional,nivelaprob_desc__maestria,nivelaprob_desc__ninguno,nivelaprob_desc__normal,nivelaprob_desc__preescolar_o_kinder,nivelaprob_desc__preparatoria_o_bachillerato,nivelaprob_desc__primaria,nivelaprob_desc__secundaria,region_banxico__centro,region_banxico__centro_norte,region_banxico__norte,region_banxico__sur,tam_loc_desc__localidades_con_100_000_y_mas_habitantes,tam_loc_desc__localidades_con_15_000_a_99_999_habitantes,tam_loc_desc__localidades_con_2_500_a_14_999_habitantes,tam_loc_desc__localidades_con_menos_de_2_500_habitantes,parentesco_desc__abuelo_a,parentesco_desc__ahijado_a,parentesco_desc__bisabuelo_a,parentesco_desc__bisnieto_a,parentesco_desc__compadre_comadre,parentesco_desc__concubino_a,parentesco_desc__concuno_a,parentesco_desc__consuegro_a,parentesco_desc__cunado_a,parentesco_desc__esposo_a_companero_a_conyuge_pareja_marido_mujer_senor_a_consorte,parentesco_desc__familiar_otro_parentesco,parentesco_desc__hermano_a,parentesco_desc__hijastro_a_entenado_a,parentesco_desc__hijo_a_adoptivo_a,parentesco_desc__hijo_a_hijo_a_consanguineo_hijo_a_reconocido,parentesco_desc__jefe_a,parentesco_desc__madre_padre,parentesco_desc__medio_a_hermano_a,parentesco_desc__nieto_a,parentesco_desc__no_tiene_parentesco,parentesco_desc__nuera_yerno,parentesco_desc__padrastro_madrastra,parentesco_desc__pareja_del_mismo_sexo,parentesco_desc__primo_a_noicpircsed_4202_y,parentesco_desc__sobrino_a,parentesco_desc__suegro_a,parentesco_desc__tio_a,hablaind_desc__no,hablaind_desc__si,segsoc_desc__no,segsoc_desc__si,subor_principal_desc__no,subor_principal_desc__no_aplica_sin_trabajo_principal_reportado,subor_principal_desc__si,contrato_principal_desc__no,contrato_principal_desc__no_aplica_sin_contrato_principal_documentado,contrato_principal_desc__si,sexo_jefe_desc__hombre,sexo_jefe_desc__mujer,educa_jefe_desc__posgrado,educa_jefe_desc__preescolar,educa_jefe_desc__preparatoria_completa,educa_jefe_desc__preparatoria_incompleta,educa_jefe_desc__primaria_completa,educa_jefe_desc__primaria_incompleta,educa_jefe_desc__profesional_completa,educa_jefe_desc__profesional_incompleta,educa_jefe_desc__secundaria_completa,educa_jefe_desc__secundaria_incompleta,educa_jefe_desc__sin_instruccion
PC1,-0.477497125204023,0.03136117147704787,0.1270789191809899,0.563836744004991,0.5714135570873227,-0.24017077977203688,0.0027698042460592874,-0.002769804246059291,-0.0010712317462874801,-0.0007958179152485381,-0.005972975363672071,-0.002411515813427866,-0.004010388610846916,-0.015209148461641892,-0.0007279875735223396,4.2408619950827055e-05,0.04720651181049452,-0.0592242514861935,0.04217439654039531,0.005865825925915992,0.0013842855767958826,-0.0037089351529667872,-0.0035411763497450667,-0.016496792921136188,0.0014283945232010876,0.005347761901841765,0.00972063649609335,-6.246102757232345e-05,4.969550376371884e-06,-1.0199582319772712e-05,7.95385937344079e-06,2.4775079221452765e-06,-9.181973688895222e-06,0.00014131314975324128,-1.0951241433354052e-07,0.001999859875486041,-0.00798197942525113,7.560847982779623e-05,0.0001561577908798215,0.001301337999022441,2.1292542577918875e-05,0.07936074457742408,-0.10057057941035774,-0.0007364723228196112,7.993006272332197e-07,0.004807428545826383,0.0003935414611524624,0.01869181087480194,1.8676690888806904e-05,-5.5751831014672605e-05,0.00022968775715094517,0.002291666854179618,-3.31246194209073e-05,-4.546711241128622e-05,-0.003059191094188189,0.00305919109418819,0.0026747108110167853,-0.0026747108110167644,-0.07708808339238896,-0.00976743612210061,0.0868555195144895,0.05152781985510429,-0.08565822991146702,0.034130410056362706,0.011643844766684666,-0.011643844766684668,-0.005566998274134978,-1.4474958202024434e-05,0.009774637537897597,0.0025434084192603353,-0.0016773771469041103,-0.02401111651552478,-0.012764309727354848,-0.0021025799640867356,0.04014460366894673,0.0023278612430835456,-0.008653654282980736
PC2,-0.014871106555973868,0.5966771049875628,0.6733843044332823,-0.18193670079442467,-0.12549935379647742,-0.1841742516830681,0.12248088763289045,-0.12248088763289078,0.0006008963690704028,0.0005271708093935318,-0.0009870642715064347,0.0037553905735983467,0.002074039934461319,-0.005214755639066314,-0.0003965648968471818,-2.5733493977401077e-05,0.006552961076443514,-0.01298582043050868,0.006099479968938897,-0.005755472148659564,-0.004526632852792613,-0.0010916886414412575,0.011373793642893454,0.006891320868147514,0.0011499475574175285,-0.0005887124185486307,-0.007452556007016432,-9.373599051638215e-05,8.840146078059434e-06,-2.1760616446103656e-06,-6.406845594114714e-05,-1.5922007262139736e-07,-4.82038094262864e-05,-2.543680826553186e-05,-2.2023145795776685e-05,-0.0006160382631503927,-0.055681987280036524,9.55310872761624e-06,-0.0010918645517746062,-0.00047173800562425256,-2.8023383672713625e-06,-0.03594224344048222,0.1087223191825193,-0.0014510062671578637,7.387541697598177e-06,-0.00582087684459211,0.00017611062040188933,-0.005728301235762139,7.948824682724617e-06,0.00010986910744305035,3.0092902376716663e-05,-0.0012145641920803757,-0.0006768693612650648,-0.00011802616197171428,-0.002561965734680411,0.0025619657346804174,-0.07375663420003238,0.07375663420003235,-0.0319681430520099,-0.09012019364315824,0.12208833669516791,0.03491662834766708,-0.12166570683305931,0.08674907848539241,0.023173646971109522,-0.023173646971109494,0.002061578708831136,-9.297657243789426e-06,0.013931929219845577,0.00262516405352987,-0.011801348516658752,-0.02104335887654026,0.00993088471147196,0.0024654996074359764,0.01100290158570498,0.00018260210688660305,-0.009346554943263294
PC3,0.45816373719331194,0.30613278793870186,0.10413594854601221,0.3582712227635557,0.29664377592841323,0.4973879325733906,0.044321730798945164,-0.0443217307989452,-0.0006512393883155443,-0.000595346373774109,-0.0030729562567437187,-0.09255921478634507,-0.0052907968509687455,0.027081783526868047,0.00010882503499510367,9.146663141082381e-05,-0.06823420526812224,0.1301665191987379,0.012955164532257401,0.013074900147935622,-0.022674890335481694,-0.04911481215180514,0.058714802339351196,-0.1283296213003636,-0.00832423728298307,0.014558027640193753,0.12209583094315296,0.00021084679734621823,-2.484555552267083e-05,1.0274070755392581e-05,4.972752235953961e-05,-1.3572314080346167e-06,-9.045716393079252e-05,5.043403616202492e-05,-6.097315587117431e-06,0.0004473288286659537,-0.004288925223037938,4.076394797495205e-05,-0.0014190143622181668,-0.0010768604380705109,-1.268291038137926e-06,-0.06181407845627485,0.05454981642957318,0.002662269223155439,-9.258792163632581e-06,0.0029799536177760586,-0.0019410342964070238,0.00967881249993053,4.931461884842196e-05,-0.00043879049618555254,-0.00040595353911483987,-0.0008501938697228769,0.0013615657423262431,0.00027702769580825,-0.05141503435570167,0.05141503435570166,0.13349715760312855,-0.1334971576031284,0.1528862598575719,-0.025554923494428467,-0.1273313363631435,0.019951864456248775,0.12904486503992998,-0.1489967294961787,0.047922424713865534,-0.04792242471386553,-0.0078016241862624005,1.6219485979117613e-05,-0.050555579140111336,-0.009609238907303537,0.04862578759974202,0.08067224559174216,-0.0489994196779359,-0.014274056748956283,-0.03339601879378419,-0.0005407695327399423,0.03586245430963029
PC4,-0.162957347028545,-0.15581476112816484,0.20468445241831246,0.15379143739407408,-0.17607274508442727,0.6921571331441319,0.043619810168101014,-0.04361981016810107,0.0008679486098661648,0.0006525811184099894,0.0035170919492006625,0.08660970994981618,0.003766542339699912,-0.011020739750375643,0.0007579587393846952,-6.0457556573258964e-05,0.05064845913525235,-0.07787882342241095,-0.057860271112270094,0.011238123026165586,0.014245842707094293,0.043328393429978476,-0.06881235916323833,0.14222788270975512,0.004997022744561167,-0.010264554074961362,-0.136960351379355,4.655948782987731e-05,1.5036758474248184e-05,7.806333969956248e-06,0.00018183851213072309,1.2639131239585477e-06,-0.0001102162312081306,5.4237742363637715e-05,-1.1537733373073792e-06,0.0012839644946376265,-0.08340030265055255,7.389865445283354e-05,0.005047634612890073,0.0006421256947588552,2.078446920025301e-05,0.19187115673855293,-0.16979724771277224,-0.0005407421320784229,1.8082338397724474e-06,0.026689483209280086,0.0026567379066670155,0.019124562459980034,2.834624565859692e-05,9.842561097220608e-05,0.0006821535610838023,0.00525633884659437,-0.00015446105256828663,0.00021996006605609668,0.04987125135787446,-0.04987125135787447,-0.19346791019000478,0.19346791019000462,-0.1762892379875911,-0.008777889182914143,0.18506712717050522,-0.016923287141694027,-0.18628367979239666,0.20320696693409088,-0.053114761879136135,0.05311476187913604,0.004625009329404896,-4.379965609484979e-05,0.0006590530489735046,-0.0006522476691240449,-0.008398255910470888,0.01627316224692721,0.023206924641356347,0.003941792957223816,-0.045403610136255435,-0.005703119125462844,0.011495090273522206
PC5,0.4533429376347083,-0.3787733646928564,0.1456076817929673,0.07879249533090343,0.28308092306699917,-0.1776415511443594,0.17746794884037503,-0.1774679488403752,0.001717135291578964,0.0007715059390922541,0.006799779664990263,0.008476288848711822,0.006245037750232511,-0.0030317865759750084,0.0007737084313634306,-0.00013482898660881069,-0.032748394283407554,-0.0034616852833275515,0.01459323920334983,-0.031162211827598183,0.022949139732200533,0.08544200769530971,-0.07722893559991206,0.14233158117874276,0.002081890229629285,-0.01893407155390048,-0.12547939985447173,0.00011457022136769498,-1.230850301496771e-06,1.023813778105633e-05,-0.00016623644918599395,6.113398501769881e-06,-9.312356259863117e-05,0.00011593884164757892,1.2254865938808646e-05,0.0006855658890510854,-0.04000218649069167,-1.6789231995101354e-05,-0.0010310669637948367,-0.0012771486066700524,6.768906389707322e-06,-0.20617441625939462,0.27172711809469197,0.0018277067898388815,-1.1722402422350037e-05,-0.017988216116535786,-0.0011430964011648018,-0.004127426568315683,7.45422043859494e-05,-0.00010481049778048624,-1.6863087401096412e-05,-0.0037278150290536586,0.0010895391961438252,0.00021179197156792132,0.03449653439138161,-0.034496534391381596,-0.30356107077579536,0.3035610707757951,-0.04613983748473848,0.023675791265962677,0.022464046218775933,-0.16001330292277652,-0.027565555692821847,0.18757885861559842,0.0972202035719779,-0.09722020357197778,0.008001326204995256,-5.3380678104960876e-05,0.03005554949450566,0.0047083044004685645,-0.034840410301232326,-0.05053784771389768,0.042905033808101754,0.006342445703932361,0.019047887418951883,0.0006068475413017696,-0.026235755879022327
PC6,0.16436296025016378,0.4140007498513056,-0.21995124877273822,0.0296696315433983,0.15367136777057344,-0.021678453180945856,-0.39875002149523664,0.3987500214952376,0.0030062310873867487,0.0018082334743781403,0.015090238348148266,0.1127777055265516,0.014814936576035713,-0.0025137096138573966,0.0027328779604518186,-8.320875369390761e-05,-0.01570048400827362,-0.07375123359117364,-0.058181587005953675,-0.049300188242155284,0.022088286266852268,0.03679979624976489,-0.009587894274461788,0.19289379335887705,0.00401689840919826,-0.015093040066442007,-0.1818176517016335,1.7180043055501174e-06,-1.7511157180208108e-05,1.1821667083039362e-05,-1.0858531316306412e-06,1.4895917346855434e-05,0.0002028494872092036,1.9807602013148708e-05,-1.3487826316648026e-06,5.078843416008421e-05,0.17191799421696202,9.094322245671864e-05,0.0026013352154591303,-0.0017182894050550182,9.35461248497597e-06,-0.0632503065688016,-0.10304973406502736,0.0024930109064711403,-2.198087722461554e-05,-0.006675155495399873,-1.4777111790428391e-05,-0.0028888641357389727,-2.644385461838411e-05,0.00024924634193013086,-3.568685848418408e-05,-0.0009102571991359122,0.0008325439793952879,0.00011513175694267162,0.02628937698310224,-0.026289376983102238,-0.20958057121175833,0.20958057121175805,0.0405854065478987,-0.03822303664651414,-0.0023623699013845937,-0.21261137420406354,0.0034080940229536732,0.20920328018111015,-0.19298567162979094,0.19298567162979066,0.016916118816110895,-0.0001531829624638118,0.025290411966337384,0.0018350967522196805,-0.046679868188362734,-0.05024180829196587,0.08042003904639362,0.01395056174670555,-0.02449672274494604,-0.006230640511639729,-0.010610005628389053
PC7,0.28146025393284013,0.0188325284465779,-0.16256512180829377,0.017836199079684145,0.031235878133984152,-0.06257931635227365,-0.07714499908305485,0.07714499908305489,0.0003327794472302026,-0.0006604373418566609,0.0019230787289979956,-0.10813387157018292,-0.0011641791853418404,0.005466811376469996,0.0006827321365478201,0.00014123706508806233,-0.10540671711547366,0.07608698272887189,0.13073158372964902,0.04756877223410078,0.03375739647029426,-0.00285038119641982,-0.07847578750797529,-0.058391040541009624,0.005073434894898295,0.0038200408974476798,0.04949756474866362,3.076256769969706e-06,-2.3834938845083404e-05,2.193590618275142e-05,-7.286416315249223e-06,1.2996148901988916e-05,4.7670501746548764e-05,9.66305376203369e-05,-6.313563319550445e-06,0.0002682571739534789,0.0013623098850758188,7.990888961444964e-06,0.004355969391724275,-0.0007730858054266126,1.9643009520870822e-06,-0.06024730324248057,0.056411051520147186,0.0028167762001496503,-5.281970575049668e-06,-0.005153571799929831,-0.0004026907870869275,-0.000294326656627536,7.621077808983122e-05,-0.00013452426532388175,-4.1782694675482964e-05,-0.00047987775693516524,0.0015752245257141934,0.000511815881551542,0.02223503229006536,-0.022235032290065352,0.04058632361094979,-0.040586323610949805,-0.3831700246881279,-0.03022711666800667,0.41339714135613437,0.4957523191359247,-0.41592862750642823,-0.07982369162949714,-0.14387983715073283,0.1438798371507326,-0.003348563493907452,0.00012507612607447368,-0.06995076752954778,-0.009202105959182265,0.03543611940636143,0.02094497343381675,-0.061900309076864286,-0.01543693936271035,0.09251447307977971,0.005253609017340664,0.005564434358839074
PC8,0.09874857000870625,-0.40185191806969106,0.5682511478718896,-0.01977050535493452,0.018488646891406557,-0.04485567467137265,-0.2758698780062458,0.275869878006246,-0.0019322078852177932,-0.0010129496574912559,0.0056485321109360775,-0.08931353222561879,-0.006935332942598238,0.0053559900544687955,-0.0017707035524605619,-2.4721320479592634e-05,-0.017953199274284293,0.005292809000428639,0.10264531569231705,0.08742201885801743,-0.045248180717092884,-0.04599613258516034,0.003822294444235713,-0.01930886493994386,0.019315095612852672,0.023729219440925663,-0.02373545011383444,0.0001463896936986507,-3.6138733376738886e-05,3.7121170706279465e-06,1.5113316830908181e-05,2.097620712082353e-05,1.5097644902403717e-06,-2.196738703092656e-06,3.588987210283753e-06,-0.00014053337139992094,0.06294953579551187,-1.8311369414557153e-05,0.006374496993882367,-0.0013793315287034633,-2.7138416063276697e-06,-0.00717665437474365,-0.06684542745278803,0.002227658150856802,7.269021706169961e-06,-0.0010030821426267103,-0.00022550741283308085,0.003162645094576339,-4.27729075888829e-05,0.00018291343591995388,0.00028192521393162814,0.0008783956597127429,0.0005509346060286227,6.560581523643818e-05,0.003949547760961179,-0.003949547760961212,0.13029628944734348,-0.1302962894473433,0.08154772733723849,0.023698991672390268,-0.10524671900962872,-0.01852440012011229,0.10163536837803484,-0.08311096825792272,-0.3365654142865739,0.33656541428657344,-0.010568016637275605,4.905408930194726e-05,-0.022288767879979514,-0.004183090527262949,0.009128520904633917,-0.004843608463008221,-0.061367461036480477,-0.011267964684903643,0.09229496840661033,0.0014993359925621625,0.011547029835802131
PC9,-0.1585508480070332,0.021509016203019926,-0.08979800662561985,-0.38646813415051784,0.4266926252271466,0.14600345834122344,0.14723819395475723,-0.1472381939547574,0.0006515973182489934,0.0005106874191559696,-0.008245073690416826,0.05998612775895046,0.0030349586138717077,0.009783111389226273,-0.0007003269948323287,-9.354333091560196e-05,0.10721935400561519,0.08255001279951829,-0.25469690528842276,-0.06994762941325534,0.026357645140922287,-0.019683281333058442,0.06327326560539145,0.012327245654229126,-0.004644553288369728,-0.004647735400339772,-0.003034956965519646,-0.00017425910003691713,-2.1850095377093907e-05,-2.0486005898882128e-05,0.00010435766690843927,-1.252548940226136e-05,-1.5195432259300071e-05,-0.00012548563290101547,-3.496824004261025e-05,-0.0028320050826925167,-0.26541689820583736,3.4324072388203286e-05,0.0013736640301022145,-0.0014635893835085957,-3.8667195726123386e-05,-0.01872788153735625,0.2765125881738271,-0.0020952589474678416,4.879923621562911e-06,0.013544524270979049,0.001263429164705714,-0.0004107590086610585,-1.6991651363642135e-05,0.0003067629323299506,-8.530043181808563e-05,0.00031905881519373055,-0.0017199229660423243,-0.0002515446436644838,-0.021174177843064777,0.021174177843064763,0.03453044218843811,-0.03453044218843801,-0.00344819696046519,0.004102763772026964,-0.0006545668115618035,0.028064353906187414,-0.00011583221251162598,-0.0279485216936762,-0.354265306058324,0.3542653060583234,0.005306045312649171,3.5370754043004037e-05,0.08079701320135119,0.00982909811630809,0.03229071949701601,0.03691432586135152,0.04678549466798791,0.015540368065778177,-0.24040026925093713,-0.007468427903409269,0.020370261677861247
PC10,-0.14785781442969312,0.09715979385264537,-0.1157847292211156,-0.18928159405559475,0.129710698316091,0.1831403755028259,0.09061535516987049,-0.09061535516987054,-0.0006233958758573299,-0.00030216417156164743,0.003438116321929807,-0.09990409045271281,-0.0039037810041952087,-0.010562908391820405,-0.00013419757994417858,-0.0002614436740231707,-0.1814891963491081,-0.25673513144858917,0.5504781926258844,-0.02803821431827508,0.011687476905857516,0.07705522151114448,-0.06070448409872689,-0.03822269720666444,-0.014088188716890585,-0.01786128877349241,0.0701721746970474,-4.031939031512285e-05,-9.254759073964961e-06,-1.8993354044087466e-05,4.586093887035741e-06,1.637247402392125e-05,0.00015751798963800637,1.6442618548578612e-06,-3.610605043534821e-06,-0.0011551522779755436,-0.1049483734619684,6.128985013646927e-05,-0.003243305088603008,-0.00018543687092173366,1.2544902691353168e-05,-0.0033763828485346013,0.10977343871202361,-0.0023674439970027624,-1.3622927106505867e-05,0.007491820835074354,-0.0013832064425048426,0.0015066790116023228,-6.136112934867315e-05,-0.00013789395192988216,-0.00031135621534566073,0.0001755706585598131,-0.0016306211718173126,-0.00031513029795630514,0.023425500205422268,-0.02342550020542227,-0.0904951681905299,0.09049516819052972,0.0744313221558484,0.006048320522743239,-0.08047964267859155,-0.07318605131815571,0.0800389660847182,-0.0068529147665624505,-0.10392908015367948,0.10392908015367928,-0.006842069522915097,-0.00014645540895747783,-0.1421673025617502,-0.019704638176728198,-0.17655080433225606,-0.08744873622872588,-0.08065486488379317,-0.014216202298726829,0.5203237536113163,0.013641735635353378,-0.006234415832816644
PC11,0.11840199827960543,0.10501841091232282,-0.14777448640330848,0.4715434409305316,-0.3924980185275181,-0.2379995394757062,0.22403305240789612,-0.22403305240789645,3.8833691066525455e-05,-1.4358336074771216e-05,0.0012414158284396737,0.005162676257349921,-0.00273638328261977,-0.0010373865114267633,-0.00029283683407231587,-2.4079470960169935e-05,-0.028967613089818267,0.031562145921937124,-0.004932414173820343,0.026210780167708253,-0.03336278959869721,-0.01944648289193339,0.026598492322922426,0.1182471965071721,-0.007779301473695844,0.0028417228973423654,-0.11330961793081883,7.60178768158692e-05,1.0776745445250171e-05,-2.6731854665720654e-06,6.351417383989023e-05,1.2280096712543623e-05,-0.00013228794712959332,3.239051863440026e-05,2.433817543727438e-05,0.001111218081431967,-0.27404519576278086,0.00011007246373201772,0.0074572173370236125,-0.0012409051254836242,-1.9595136448045464e-05,0.17813663927764542,0.06709518221534212,0.0014675180882772127,-1.855447097551645e-05,-0.0003392599889636923,0.000224843159020871,0.01569810062811489,0.0001136141002180207,-0.00011150722152863323,0.0007198585241452387,0.003167440850046398,5.849565902654801e-05,0.00033046086786674264,0.003382606706277039,-0.0033826067062770466,-0.02271946107737086,0.022719461077370832,0.07696473704842643,0.004017896919311587,-0.08098263396773807,-0.06485682655486545,0.08262620321381667,-0.017769376658950876,-0.34913283629081043,0.34913283629080966,0.0002085837722050891,0.00012691669585490706,-0.05464006173263501,-0.007762524384307714,0.04643302003342353,0.011470429896193715,-0.029694056061269365,-0.007152849282721079,0.036184573263097944,-0.0038720596160741277,0.00869802741623216
PC12,-0.016816809896762985,-0.026087266588377577,-0.03859625234756413,0.007705473901196115,-0.05051527858947537,-0.03925743404028169,-0.04118947030547448,0.04118947030547461,1.3983949059485912e-05,-0.0007889830591420255,-0.006165366429080041,-0.09172369580496781,0.0008487520905317847,0.0024486199253827487,0.001995510428863312,-0.00014869513034616866,0.002840035797896462,0.13379379647289044,-0.043113958241088435,0.1302441508321605,-0.34396449726869754,0.13375977707159703,0.07996056936494039,-0.4744944740581863,-0.012656179441101784,-0.0569834158872861,0.5441340693865748,-2.144047111060296e-05,9.533624401395976e-06,-1.4265630949550703e-05,-7.426187855836468e-05,1.8919963640686344e-05,-0.00020152659146878817,-7.405594205291778e-05,3.228544643768714e-06,-0.0016747121896399221,-0.016866609321977245,1.2440076568011491e-05,-0.002489862407738666,-0.0009662163072400435,7.989230620730348e-06,0.04788595936708223,-0.021910003116407586,-0.0011451539863418445,-1.3637607870421055e-05,-0.0032671008825829457,-0.001569906034132449,0.005990480302231,-8.034551963325819e-05,3.190339579934342e-05,-0.0008419279447235494,-0.0017765106152323336,-0.000756727073252051,-0.00021619098407455825,-0.08364199430880244,0.08364199430880237,-0.2108995004162544,0.21089950041625377,-0.05648205573475939,0.007992116320132291,0.04848993941462705,-0.22289133249802714,-0.04404976858858979,0.26694110108661795,-0.08159933916666606,0.08159933916666581,-0.005065191661628418,4.080002617550586e-05,-0.02943465957676638,-0.010805657340731262,0.10819237928538035,0.08373614293619622,-0.08338604332906484,-0.01816078653697995,-0.04933012577915847,-0.00913478848716983,0.013347930463747059
