rank_cooks_sin_identificadores,y,ajustado,residuo,leverage,cooks_distance
1,11249.98,11249.979999999563,4.3655745685100555e-10,1.0000000000001046,13.34182913561694
2,1076.08,1076.0799999996525,3.474269760772586e-10,1.0000000000001303,8.450056748202329
3,17021739.119999997,72598.46905474135,16949140.650945257,0.00022530621434121919,0.22349986346153336
4,3145054.93,66755.1552180251,3078299.774781975,0.0028128236870348946,0.0925175163946796
5,5978481.63,45727.28439954343,5932754.345600456,0.000524736174575594,0.06381498045742397
6,4426229.5,65086.79900021146,4361142.700999789,0.0002915503610866136,0.019150514960130892
7,809409.83,80461.74873165559,728948.0812683443,0.0037263443524605012,0.006885443054480101
8,2785304.34,68018.48767658752,2717285.8523234124,0.00025247634314156823,0.006437595372811273
9,1864956.52,33298.45618531682,1831658.0638146831,0.0004922363595735308,0.005705624086063569
10,2211983.6,37713.98438824067,2174269.6156117595,0.0003296843407313942,0.0053830017932170815
11,1602652.13,40269.57352305911,1562382.5564769409,0.000613200872111761,0.005172771727898142
12,1056521.73,55835.171148909154,1000686.5588510908,0.001113906544072642,0.0038585662224416193
13,1222239.13,29675.618270897667,1192563.511729102,0.0005281412818481457,0.0025952847361670776
14,2188032.78,30057.616595900286,2157975.1634040996,0.00015895267953010126,0.0025557114382710354
15,528260.86,54032.87253591208,474227.9874640879,0.00308783104122747,0.0024117211951615925
16,1364673.9,17895.68453937608,1346778.2154606238,0.0003767533529109488,0.0023604217138784135
17,515543.47,104936.57347209333,410606.89652790665,0.0037636692880355996,0.002206745181081999
18,1369565.21,60017.2811244257,1309547.9288755744,0.0003443565063544768,0.002039685688706974
19,500086.95,92123.53179901099,407963.418200989,0.0033584137967065434,0.0019422791297859824
20,490353.25,101316.03684083323,389037.21315916674,0.003652712620861267,0.0019221590227780127
21,1131495.65,47017.70332373206,1084477.9466762678,0.000455041429596006,0.001848845951386373
22,1176676.61,79073.32961880122,1097603.280381199,0.00043702322492356093,0.0018188127520756979
23,1700815.1,32505.11941809158,1668309.9805819085,0.00018230320674115786,0.0017519397589181394
24,162245.9,30194.19574008584,132051.70425991414,0.025824583377914143,0.0016377967953265552
25,1568360.65,67804.01646092688,1500556.633539073,0.00020323106908782005,0.0015800994791074754
