metrica,min,p50,p90,p95,p99,max
residuo,-94381.21855956393,-3371.619793458689,18683.011353553244,33592.55521974584,100180.27895737889,16949140.650945257
residuo_abs,1.1641532182693481e-10,10072.4602259499,30468.041824847805,41566.414791798525,100180.27895737889,16949140.650945257
leverage,0.00010646396747354063,0.00029245874450354746,0.000741515978917058,0.0010683378021621513,0.0036202064693833602,1.0000000000001303
cooks_distance,1.0627300164712849e-16,1.1359592644013194e-07,1.297644635638644e-06,2.886284092759972e-06,2.0875213940238222e-05,13.34182913561694
